"","Section","ShrubID","SiteID","Species","StemLength","StemHeight","StemDiam","CanopyCover","Twigs","Moose","Hare","Ptarmagin","PropMoose","PropHare","PropPtarmagin","BMoose","BHare","BPtarmagin","BinaryBrowse","DistToRoad","RoadSide","GMU","VegCoverGIS","VegCoverOBS","SoilText","SoilMoist","LastBurn","Elevation","Aspect","Slope","X_Cord","Y_Cord","Section","Transect","DaltonHwy_MilePoint","Dist_to_Road_m","Side_of_Road","GMU","ShrubsSampled","ShrubsBrowsed","ShrubsBrowsed_Moose","ShrubsBrowsed_Hare","ShrubsBrowsed_Ptarmagin","Moose_Feces_Count","Hare_Feces_  Count","Ptarmagin_Feces_Count","Avg_StemLength","Avg_VertHeight","Avg_CanopyCover","GIS_Veg_Cover_Coarse","GIS_Veg_Cover_Fine","Observed_Veg_Cover_Coarse","SoilTexture","SoilMoisture","Elevation","Aspect","Slope","X_Cord","Y_Cord","Last Burn"
"14",1,"60-4-B-BENA","60-4","BENA",95,NA,9,0,9,NA,2,NA,NA,0.222222222,NA,NA,"Hare",NA,1,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317,1,4,60,1406.2,"West","20F",8,6,4,5,NA,NA,1,NA,84.5,NA,10.63,"Tall Shrub (Open-Closed)","Tall Shrub","Black Spruce Woodland","Silt Loam","Mesic",110.670654,252,1.181915,-149.840942,65.910317,0
"15",1,"60-4-D-SAPU","60-4","SAPU",103,NA,15,13,35,1,4,NA,0.028571429,0.114285714,NA,"Moose","Hare",NA,1,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317,1,4,60,1406.2,"West","20F",8,6,4,5,NA,NA,1,NA,84.5,NA,10.63,"Tall Shrub (Open-Closed)","Tall Shrub","Black Spruce Woodland","Silt Loam","Mesic",110.670654,252,1.181915,-149.840942,65.910317,0
"16",2,"72-1-A-SAPU","72-1","SAPU",91,87,15,19,15,NA,6,NA,NA,0.4,NA,NA,"Hare",NA,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623,2,1,72,895.9,"West","20F",8,5,1,4,NA,NA,NA,NA,83.6,64.875,11.25,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",130.808105,148,1.606934,-150.14017,66.022623,0
"17",2,"72-1-C-BENA","72-1","BENA",118,71,9,0,11,NA,2,NA,NA,0.181818182,NA,NA,"Hare",NA,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623,2,1,72,895.9,"West","20F",8,5,1,4,NA,NA,NA,NA,83.6,64.875,11.25,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",130.808105,148,1.606934,-150.14017,66.022623,0
"18",2,"72-1-C-SAGL","72-1","SAGL",112,103,13,11,16,1,NA,NA,0.0625,NA,NA,"Moose",NA,NA,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623,2,1,72,895.9,"West","20F",8,5,1,4,NA,NA,NA,NA,83.6,64.875,11.25,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",130.808105,148,1.606934,-150.14017,66.022623,0
"19",2,"72-1-D-BENA","72-1","BENA",65,41,8,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623,2,1,72,895.9,"West","20F",8,5,1,4,NA,NA,NA,NA,83.6,64.875,11.25,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",130.808105,148,1.606934,-150.14017,66.022623,0
"20",2,"72-1-D-SAPU","72-1","SAPU",68,54,18,0,8,NA,1,NA,NA,0.125,NA,NA,"Hare",NA,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623,2,1,72,895.9,"West","20F",8,5,1,4,NA,NA,NA,NA,83.6,64.875,11.25,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",130.808105,148,1.606934,-150.14017,66.022623,0
"21",2,"72-2-A-BENA","72-2","BENA",121,72,12,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,855.94066,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,131.055786,179,2.125059,-150.13956,66.022889,2,2,72,855.9,"West","20F",8,2,NA,2,NA,NA,NA,NA,113.3,81.375,6.88,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",131.055786,179,2.125059,-150.13956,66.022889,0
"22",2,"72-2-A-SAGL","72-2","SAGL",129,121,17,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,855.94066,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,131.055786,179,2.125059,-150.13956,66.022889,2,2,72,855.9,"West","20F",8,2,NA,2,NA,NA,NA,NA,113.3,81.375,6.88,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",131.055786,179,2.125059,-150.13956,66.022889,0
"23",2,"72-2-B-BENA","72-2","BENA",104,67,9,0,5,NA,1,NA,NA,0.2,NA,NA,"Hare",NA,1,855.94066,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,131.055786,179,2.125059,-150.13956,66.022889,2,2,72,855.9,"West","20F",8,2,NA,2,NA,NA,NA,NA,113.3,81.375,6.88,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",131.055786,179,2.125059,-150.13956,66.022889,0
"24",2,"72-2-C-SAPU","72-2","SAPU",97,84,22,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,855.94066,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,131.055786,179,2.125059,-150.13956,66.022889,2,2,72,855.9,"West","20F",8,2,NA,2,NA,NA,NA,NA,113.3,81.375,6.88,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",131.055786,179,2.125059,-150.13956,66.022889,0
"25",2,"72-2-D-SAPU","72-2","SAPU",79,60,21,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,855.94066,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,131.055786,179,2.125059,-150.13956,66.022889,2,2,72,855.9,"West","20F",8,2,NA,2,NA,NA,NA,NA,113.3,81.375,6.88,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",131.055786,179,2.125059,-150.13956,66.022889,0
"26",2,"72-3-A-SAGL","72-3","SAGL",122,114,14,7,15,NA,1,NA,NA,0.066666667,NA,NA,"Hare",NA,1,885.368743,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,132.401993,119,2.284806,-150.140609,66.023021,2,3,72,885.4,"West","20F",7,2,NA,2,NA,NA,1,NA,93.9,65.85714286,2.86,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",132.401993,119,2.284806,-150.140609,66.023021,0
"27",2,"72-3-B-SAPU","72-3","SAPU",75,59,20,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,885.368743,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,132.401993,119,2.284806,-150.140609,66.023021,2,3,72,885.4,"West","20F",7,2,NA,2,NA,NA,1,NA,93.9,65.85714286,2.86,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",132.401993,119,2.284806,-150.140609,66.023021,0
"28",2,"72-3-C-BENA","72-3","BENA",65,39,9,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,885.368743,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,132.401993,119,2.284806,-150.140609,66.023021,2,3,72,885.4,"West","20F",7,2,NA,2,NA,NA,1,NA,93.9,65.85714286,2.86,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",132.401993,119,2.284806,-150.140609,66.023021,0
"29",2,"72-3-D-BENA","72-3","BENA",104,47,11,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,885.368743,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,132.401993,119,2.284806,-150.140609,66.023021,2,3,72,885.4,"West","20F",7,2,NA,2,NA,NA,1,NA,93.9,65.85714286,2.86,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",132.401993,119,2.284806,-150.140609,66.023021,0
"30",2,"72-3-D-SAGL","72-3","SAGL",128,109,19,9,10,NA,2,NA,NA,0.2,NA,NA,"Hare",NA,1,885.368743,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,132.401993,119,2.284806,-150.140609,66.023021,2,3,72,885.4,"West","20F",7,2,NA,2,NA,NA,1,NA,93.9,65.85714286,2.86,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Black Spruce Woodland","Clay Loam","Mesic",132.401993,119,2.284806,-150.140609,66.023021,0
"31",2,"72-4-A-BENA","72-4","BENA",97,39,7,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,844.255779,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Clay Loam","Mesic",0,132.260803,156,1.029158,-150.139994,66.023305,2,4,72,844.3,"West","20F",8,2,1,2,NA,NA,NA,NA,93.6,56.875,0,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Low Shrub-Tussock Tundra","Clay Loam","Mesic",132.260803,156,1.029158,-150.139994,66.023305,0
"32",2,"72-4-B-SAPU","72-4","SAPU",111,93,14,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,844.255779,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Clay Loam","Mesic",0,132.260803,156,1.029158,-150.139994,66.023305,2,4,72,844.3,"West","20F",8,2,1,2,NA,NA,NA,NA,93.6,56.875,0,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Low Shrub-Tussock Tundra","Clay Loam","Mesic",132.260803,156,1.029158,-150.139994,66.023305,0
"33",2,"72-4-D-BENA","72-4","BENA",85,37,8,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,844.255779,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Clay Loam","Mesic",0,132.260803,156,1.029158,-150.139994,66.023305,2,4,72,844.3,"West","20F",8,2,1,2,NA,NA,NA,NA,93.6,56.875,0,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Low Shrub-Tussock Tundra","Clay Loam","Mesic",132.260803,156,1.029158,-150.139994,66.023305,0
"34",2,"72-4-D-SAPU","72-4","SAPU",69,57,8,0,11,NA,1,NA,NA,0.090909091,NA,NA,"Hare",NA,1,844.255779,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Clay Loam","Mesic",0,132.260803,156,1.029158,-150.139994,66.023305,2,4,72,844.3,"West","20F",8,2,1,2,NA,NA,NA,NA,93.6,56.875,0,"Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Low Shrub-Tussock Tundra","Clay Loam","Mesic",132.260803,156,1.029158,-150.139994,66.023305,0
"35",3,"86-1-A-BENA","86-1","BENA",142,NA,20,0,87,1,NA,NA,0.011494253,NA,NA,"Moose",NA,NA,1,1072.088921,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,572.239319,57,8.372539,-150.2773,66.212913,3,1,86,1072.1,"West","20F",12,4,4,NA,NA,1,NA,NA,133.8,NA,9.33,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",572.239319,57,8.372539,-150.2773,66.212913,0
"36",3,"86-1-A-SABE","86-1","SABE",129,NA,19,19,52,1,NA,NA,0.019230769,NA,NA,"Moose",NA,NA,1,1072.088921,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,572.239319,57,8.372539,-150.2773,66.212913,3,1,86,1072.1,"West","20F",12,4,4,NA,NA,1,NA,NA,133.8,NA,9.33,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",572.239319,57,8.372539,-150.2773,66.212913,0
"37",3,"86-1-B-BENA","86-1","BENA",95,NA,11,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1072.088921,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,572.239319,57,8.372539,-150.2773,66.212913,3,1,86,1072.1,"West","20F",12,4,4,NA,NA,1,NA,NA,133.8,NA,9.33,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",572.239319,57,8.372539,-150.2773,66.212913,0
"38",3,"86-1-D-SABE","86-1","SABE",76,NA,8,0,10,2,NA,NA,0.2,NA,NA,"Moose",NA,NA,1,1072.088921,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,572.239319,57,8.372539,-150.2773,66.212913,3,1,86,1072.1,"West","20F",12,4,4,NA,NA,1,NA,NA,133.8,NA,9.33,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",572.239319,57,8.372539,-150.2773,66.212913,0
"39",3,"86-2-A-BENA","86-2","BENA",118,NA,20,0,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1091.215231,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,576.231995,67,9.004415,-150.278061,66.212989,3,2,86,1091.2,"West","20F",9,NA,NA,NA,NA,NA,NA,NA,114.2,NA,9.11,"Low Shrub","Low Betula nana-Low Willow","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",576.231995,67,9.004415,-150.278061,66.212989,0
"40",3,"86-2-B-BENA","86-2","BENA",94,NA,18,3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1091.215231,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,576.231995,67,9.004415,-150.278061,66.212989,3,2,86,1091.2,"West","20F",9,NA,NA,NA,NA,NA,NA,NA,114.2,NA,9.11,"Low Shrub","Low Betula nana-Low Willow","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",576.231995,67,9.004415,-150.278061,66.212989,0
"41",3,"86-2-C-SABE","86-2","SABE",47,NA,7,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1091.215231,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,576.231995,67,9.004415,-150.278061,66.212989,3,2,86,1091.2,"West","20F",9,NA,NA,NA,NA,NA,NA,NA,114.2,NA,9.11,"Low Shrub","Low Betula nana-Low Willow","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",576.231995,67,9.004415,-150.278061,66.212989,0
"42",3,"86-2-D-SABE","86-2","SABE",144,NA,31,15,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1091.215231,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,576.231995,67,9.004415,-150.278061,66.212989,3,2,86,1091.2,"West","20F",9,NA,NA,NA,NA,NA,NA,NA,114.2,NA,9.11,"Low Shrub","Low Betula nana-Low Willow","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",576.231995,67,9.004415,-150.278061,66.212989,0
"43",3,"86-3-A-BENA","86-3","BENA",105,NA,18,0,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303,3,3,86,1057.3,"West","20F",12,2,2,NA,NA,NA,NA,1,124.3,NA,8.08,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",571.701965,63,9.459789,-150.277761,66.213303,0
"44",3,"86-3-C-SABE","86-3","SABE",122,NA,15,7,21,1,NA,NA,0.047619048,NA,NA,"Moose",NA,NA,1,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303,3,3,86,1057.3,"West","20F",12,2,2,NA,NA,NA,NA,1,124.3,NA,8.08,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",571.701965,63,9.459789,-150.277761,66.213303,0
"45",3,"86-3-D-BENA","86-3","BENA",167,NA,18,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303,3,3,86,1057.3,"West","20F",12,2,2,NA,NA,NA,NA,1,124.3,NA,8.08,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",571.701965,63,9.459789,-150.277761,66.213303,0
"46",3,"86-3-D-SABE","86-3","SABE",120,NA,16,0,19,5,NA,NA,0.263157895,NA,NA,"Moose",NA,NA,1,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303,3,3,86,1057.3,"West","20F",12,2,2,NA,NA,NA,NA,1,124.3,NA,8.08,"Tall Shrub (Open-Closed)","Tall Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",571.701965,63,9.459789,-150.277761,66.213303,0
"47",3,"86-4-A-SABE","86-4","SABE",104,NA,19,18,32,3,NA,NA,0.09375,NA,NA,"Moose",NA,NA,1,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405,3,4,86,1074.7,"West","20F",9,4,4,NA,NA,2,NA,NA,122.6,NA,9.44,"Low Shrub","Low Betula nana-Low Willow","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",575.689697,64,9.57597,-150.278532,66.213405,0
"48",3,"86-4-C-BENA","86-4","BENA",133,NA,26,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405,3,4,86,1074.7,"West","20F",9,4,4,NA,NA,2,NA,NA,122.6,NA,9.44,"Low Shrub","Low Betula nana-Low Willow","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",575.689697,64,9.57597,-150.278532,66.213405,0
